epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,9862.51,0.91208,2.85009,1.91858,0.75379,0.56632,0.66393,0.40564,0.87471,1.96386,1.83385,0.0208092,0.0069364,0.0208092,0.0069364,0.0208092,0.0069364,0.0208092,0.0069364
48,10069.8,0.91093,2.81538,1.91415,0.75177,0.57232,0.66511,0.40911,0.87032,1.96428,1.83347,0.0206094,0.0068698,0.0206094,0.0068698,0.0206094,0.0068698,0.0206094,0.0068698
49,10277.6,0.91352,2.84037,1.91075,0.74433,0.57526,0.66657,0.41176,0.87061,1.95463,1.83644,0.0204096,0.0068032,0.0204096,0.0068032,0.0204096,0.0068032,0.0204096,0.0068032
50,10485.1,0.90454,2.79763,1.90637,0.7429,0.58504,0.6708,0.41653,0.86425,1.94722,1.82849,0.0202098,0.0067366,0.0202098,0.0067366,0.0202098,0.0067366,0.0202098,0.0067366
51,10692.6,0.90948,2.83282,1.92322,0.75522,0.57893,0.67224,0.41921,0.86217,1.9289,1.82834,0.02001,0.00667,0.02001,0.00667,0.02001,0.00667,0.02001,0.00667
52,10900.5,0.90378,2.79166,1.9139,0.76841,0.57905,0.67715,0.42248,0.85919,1.91631,1.82751,0.0198102,0.0066034,0.0198102,0.0066034,0.0198102,0.0066034,0.0198102,0.0066034
53,11108.2,0.91054,2.79239,1.92073,0.77209,0.58065,0.68125,0.42456,0.85373,1.90002,1.81824,0.0196104,0.0065368,0.0196104,0.0065368,0.0196104,0.0065368,0.0196104,0.0065368
54,11315.8,0.90861,2.80576,1.91715,0.75395,0.59233,0.68341,0.42754,0.8502,1.89259,1.8138,0.0194106,0.0064702,0.0194106,0.0064702,0.0194106,0.0064702,0.0194106,0.0064702
55,11523.9,0.8992,2.7687,1.89945,0.77387,0.59087,0.68452,0.42653,0.85114,1.88157,1.81249,0.0192108,0.0064036,0.0192108,0.0064036,0.0192108,0.0064036,0.0192108,0.0064036
56,11731.6,0.89886,2.74072,1.90407,0.77522,0.58623,0.68581,0.42835,0.84868,1.87825,1.8093,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
57,11939.3,0.89969,2.74343,1.8953,0.7916,0.58177,0.6886,0.43288,0.8462,1.8641,1.80542,0.0188112,0.0062704,0.0188112,0.0062704,0.0188112,0.0062704,0.0188112,0.0062704
58,12146.6,0.896,2.72338,1.89989,0.79289,0.58757,0.69291,0.43828,0.84113,1.84733,1.7981,0.0186114,0.0062038,0.0186114,0.0062038,0.0186114,0.0062038,0.0186114,0.0062038
59,12353.9,0.89122,2.69954,1.90126,0.7834,0.59987,0.69372,0.44061,0.83892,1.83882,1.79877,0.0184116,0.0061372,0.0184116,0.0061372,0.0184116,0.0061372,0.0184116,0.0061372
60,12561.2,0.89051,2.66494,1.88748,0.78832,0.60109,0.69827,0.44441,0.83468,1.82744,1.79173,0.0182118,0.0060706,0.0182118,0.0060706,0.0182118,0.0060706,0.0182118,0.0060706
